,artist,title,genre
0,WIZKID FT BUJU,MOOD,afrobeats-chart
1,BURNA BOY FT POLO G,WANT IT ALL,afrobeats-chart
2,DAVIDO & FOCALISTIC,CHAMPION SOUND,afrobeats-chart
3,JOEBOY,SIP (ALCOHOL),afrobeats-chart
4,AYRA STARR,BLOODY SAMARITAN,afrobeats-chart
5,SHAYBO & NSG,DON'T PLAY ME,afrobeats-chart
6,TEMS FT BRENT FAIYAZ,FOUND,afrobeats-chart
7,ADEKUNLE GOLD & DAVIDO,HIGH,afrobeats-chart
8,TEMS,CRAZY TINGS,afrobeats-chart
9,MAYORKUN FT VICTONY,HOLY FATHER,afrobeats-chart
10,WIZKID,ANOTI,afrobeats-chart
11,TIMAYA,COLD OUTSIDE,afrobeats-chart
12,REEKADO BANKS,OZUMBA MBADIWE,afrobeats-chart
13,ODEAL,1942,afrobeats-chart
14,KIZZ DANIEL,EH GOD (BARNABAS),afrobeats-chart
15,LADIPOE & FIREBOY DML,RUNNING,afrobeats-chart
16,KIZZ DANIEL,POUR ME WATER,afrobeats-chart
17,BURNA BOY FT DON JAZZY,QUESTION,afrobeats-chart
18,NAIRA MARLEY & MS BANKS,PARTY,afrobeats-chart
19,BAD BOY TIMZ,MOVE,afrobeats-chart
